Is Duplicate Row?,Days to Ship,Table Names,File Paths,Category,City,Country,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Profit,Quantity,Region,Row ID,Segment,Ship Date,Ship Mode,State,Sub-Category,Sales,Discount,Product Name,Return Reason,Returned?,Return Notes,Return Approver,Quota-2015,Quota-2016,Quota-2017,Quota-2018
Unique,4,Orders_Central.csv,,Furniture,Houston,United States,SF-20965,Sylvia Foulston,9/17/2016 12:00:00 AM,CA-2016-143077,77041,FUR-FU-10003535,-10.4196,2,Central,1675,Corporate,9/21/2016 12:00:00 AM,Standard Class,Texas,Furnishings,21.936,0.6,Howard Miller Distant Time Traveler Alarm Clock,,No,,,100000,105000,120000,145000
Unique,6,Orders_Central.csv,,Furniture,Lincoln Park,United States,DM-12955,Dario Medina,9/21/2016 12:00:00 AM,CA-2016-168480,48146,FUR-BO-10000468,31.0912,4,Central,3031,Corporate,9/27/2016 12:00:00 AM,Standard Class,Michigan,Bookcases,194.32,0,O'Sullivan 2-Shelf Heavy-Duty Bookcases,,No,,,100000,105000,120000,145000
Unique,6,Orders_Central.csv,,Office Supplies,Tulsa,United States,RB-19465,Rick Bensley,9/7/2015 12:00:00 AM,CA-2015-117765,74133,OFF-BI-10000474,15.3888,2,Central,5980,Home Office,9/13/2015 12:00:00 AM,Standard Class,Oklahoma,Binders,32.06,0,Avery Recycled Flexi-View Covers for Binding Systems,,No,,,100000,105000,120000,145000
Unique,3,Orders_East.xlsx/Orders_East,,Office Supplies,Philadelphia,United States,ON-18715,Odella Nelson,9/24/2016 12:00:00 AM,US-2016-161466,19120,OFF-AR-10000634,0.5992,2,East,1472,Corporate,9/27/2016 12:00:00 AM,Second Class,Pennsylvania,Art,6.84,0.2,Newell 320,,No,,,125000,150000,175000,200000
Unique,2,Orders_West.csv,,Office Supplies,Pasadena,United States,JF-15355,Jay Fein,4/23/2018 12:00:00 AM,CA-2018-136651,91104,OFF-BI-10003638,30.186,6,West,7242,Consumer,4/25/2018 12:00:00 AM,Second Class,California,Binders,92.88,0.2,GBC Durable Plastic Covers,,No,,,115000,200000,225000,300000
Unique,5,Orders_West.csv,,Office Supplies,San Jose,United States,GM-14680,Greg Matthias,5/10/2015 12:00:00 AM,CA-2015-103310,95123,OFF-SU-10004737,11.0808,6,West,9199,Consumer,5/15/2015 12:00:00 AM,Standard Class,California,Supplies,41.04,0,Acme Design Stainless Steel Bent Scissors,,No,,,115000,200000,225000,300000
Unique,3,Orders_West.csv,,Furniture,Oakland,United States,RD-19660,Robert Dilbeck,10/24/2016 12:00:00 AM,CA-2016-149650,94601,FUR-CH-10003956,-73.819200000,8,West,6424,Home Office,10/27/2016 12:00:00 AM,First Class,California,Chairs,454.272,0.2,Novimex High-Tech Fabric Mesh Task Chair,Defective,Yes,,,115000,200000,225000,300000
Unique,4,orders_south_2015,orders_south_2018.csv,Furniture,Chattanooga,United States,TT-21070,Ted Trevino,11/29/2018 12:00:00 AM,CA-2018-108035,37421,FUR-CH-10000454,48.796,2,South,7390,Consumer,12/3/2018 12:00:00 AM,Standard Class,Tennessee,Chairs,390.368,0.2,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",,No,,,100000,100000,100000,100000
Unique,4,orders_south_2015,orders_south_2015.csv,Technology,Roswell,United States,SV-20785,Stewart Visinsky,6/2/2015 12:00:00 AM,CA-2015-100895,30076,TEC-PH-10001425,67.1916,3,South,3889,Consumer,6/6/2015 12:00:00 AM,Standard Class,Georgia,Phones,239.97,0,Mophie Juice Pack Helium for iPhone,,No,,,100000,100000,100000,100000
Unique,6,orders_south_2015,orders_south_2016.csv,Office Supplies,Hampton,United States,AG-10765,Anthony Garverick,6/9/2016 12:00:00 AM,CA-2016-110947,23666,OFF-BI-10001670,56.55,3,South,4579,Home Office,6/15/2016 12:00:00 AM,Standard Class,Virginia,Binders,113.1,0,Vinyl Sectional Post Binders,,No,,,100000,100000,100000,100000
